31,1,99,33,1
31,1,99,57,1
31,1,1,03,2
31,1,99,33,2
31,1,99,41,2
31,1,99,57,2
31,1,28,03,3
31,1,1,03,5
31,1,13,01,7
31,1,21,03,8
31,1,1,02,9
31,1,1,03,9
31,1,90,01,9
31,1,99,17,10
31,1,1,03,11
31,1,7,03,11
31,1,16,04,11
31,1,24,03,11
31,1,99,17,11
31,1,21,03,12
31,1,26,02,13
31,1,99,47,14
31,1,99,47,20
31,1,8,02,21
31,1,21,03,21
31,1,21,03,22
31,1,9,01,23
31,1,17,03,23
31,1,22,05,23
31,1,21,03,26
31,1,6,01,28
31,1,8,02,28
31,1,19,04,29
31,1,7,02,30
31,1,24,04,30
31,1,32,04,33
31,1,6,03,35
31,1,6,03,37
31,13,0,00,7
31,19,99,02,1
31,19,99,16,1
31,19,99,19,1
31,19,99,34,1
31,19,99,35,1
31,19,99,37,1
31,19,99,40,1
31,19,99,43,1
31,19,99,46,1
31,19,99,49,1
31,19,99,51,1
31,19,99,52,1
31,19,99,54,1
31,19,99,56,1
31,19,99,58,1
31,19,99,61,1
31,19,99,64,1
31,19,99,67,1
31,19,99,70,1
31,19,99,73,1
31,19,99,74,1
31,19,99,76,1
31,19,99,79,1
31,19,99,80,1
31,19,99,81,1
31,19,99,82,1
31,19,99,85,1
31,19,99,94,1
31,19,99,16,2
31,19,99,34,2
31,19,99,35,2
31,19,99,46,2
31,19,99,49,2
31,19,99,51,2
31,19,99,52,2
31,19,99,54,2
31,19,99,55,2
31,19,99,56,2
31,19,99,58,2
31,19,99,61,2
31,19,99,67,2
31,19,99,70,2
31,19,99,73,2
31,19,99,74,2
31,19,99,79,2
31,19,99,80,2
31,19,99,87,2
31,19,99,94,2
31,19,99,73,3
31,19,99,73,4
31,19,99,73,5
31,37,99,08,1
31,37,99,37,1
31,37,99,54,1
31,37,99,23,2
31,37,99,37,2
31,43,0,00,9
31,52,99,15,2
31,61,99,09,1
31,61,99,09,2
31,61,99,09,3
31,61,99,09,4
31,61,99,09,5
31,70,2,02,1
31,70,1,02,18
31,79,98,01,1
31,79,99,31,1
31,79,98,01,2
31,79,99,31,2
31,79,99,40,2
31,79,99,31,3
31,79,99,37,3
31,79,99,40,3
31,79,99,40,4
31,79,99,40,5
31,79,99,40,7
31,79,2,01,20
31,106,99,07,1
31,106,99,12,1
31,106,99,13,1
31,106,99,23,1
31,106,99,07,2
31,106,99,07,3
31,106,99,07,4
31,106,99,07,5
31,106,99,07,6
31,106,99,07,7
31,106,99,07,8
31,106,99,07,9
31,106,99,07,10
31,106,99,07,11
31,106,3,05,12
31,106,99,07,12
31,106,99,07,13
31,106,99,07,14
31,106,99,07,15
31,106,99,07,16
31,106,99,07,17
31,106,99,07,18
31,106,99,07,19
31,106,99,07,20
31,106,99,07,21
31,112,0,00,8
31,112,0,00,9
31,121,99,05,1
31,121,99,09,1
31,121,99,25,1
31,121,99,37,1
31,121,99,05,2
31,121,99,13,2
31,121,99,25,2
31,121,99,05,3
31,121,99,05,4
31,121,99,05,5
31,121,99,05,6
31,121,99,05,7
31,121,99,05,8
31,121,99,05,9
